,,CALL CENTRE REPORT-2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Calls%:22%,Call Rank:1,Amount Rank:2,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,R01,R02,R03,R04,R05,Total,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Cincinnati,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0003,$891,"$1,332","$1,282",$739,$560,"$4,804",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0004,"$1,991","$1,886","$1,206",$884,"$1,722","$7,689",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0011,"$1,163","$1,180","$1,616","$1,043","$1,747","$6,749",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0012,"$1,438","$1,616",$866,$829,"$2,070","$6,819",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Cleveland,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0002,"$1,233",$223,"$1,680",$990,"$1,508","$5,634",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0007,"$1,598","$1,907",$869,"$1,426","$1,416","$7,216",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0008,$900,"$1,016",$960,$940,"$1,193","$5,009",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0010,$900,"$1,470","$1,617","$1,314",$941,"$6,242",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0013,"$1,255",$516,"$1,874","$1,863","$1,722","$7,230",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0015,"$1,138","$1,898","$1,482",$846,"$1,154","$6,518",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Columbus,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0001,"$1,655",$805,"$2,263",$987,"$1,075","$6,785",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0005,"$1,104","$2,280","$1,445","$1,722","$1,196","$7,747",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0006,$372,"$1,818","$1,346","$1,156","$1,484","$6,176",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0009,"$1,415","$1,271","$1,214","$1,135","$1,566","$6,601",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,C0014,"$1,362","$1,363","$1,152",$777,$750,"$5,404",,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
