Call Count,Toatal Amount,Sum of Duration,Avg Rating,5* CALLS,,,% calls,22%
"1,000","$96,623","89,850",3.9,307,,,,
,,,,,,,call ,218
,,,,,,,amount,"$20,581"
,,,,,,,,
,,,,,,,call rank,1
,,,,,,,amount rank,2
Call Count,Toatal Amount,Sum of Duration,Avg Rating,5* CALLS,,,,
218,"$20,581","19,300",3.9,74,,,lables,
,,,,,,,,Calls%:22%
,,,,,,,,Amount:$20581
,,,,,,,,Call Rank:1
,,,,,,,,Amount Rank:2
Row Labels,Call Count,Call Count2,,,Row Labels,Call Count,,
Jan,19,19,,,Sunday,28,,
Feb,10,10,,,Saturday,24,,
Mar,40,40,,,Friday,29,,
Apr,40,40,,,Thursday,33,,
May,13,13,,,Wednesday,36,,
Jun,12,12,,,Tuesday,44,,
Jul,9,9,,,Monday,24,,
Aug,13,13,,,Grand Total,218,,
Sep,18,18,,,,,,
Oct,21,21,,,,,,
Nov,14,14,,,,,,
Dec,9,9,,,,,,
Grand Total,218,218,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Call Count,Toatal Amount,,REPs,Call Count ,Total amount,Sel. Calls,Sel. Amount
R01,189,"$18,415",,R01,189,$18.4k,#N/A,#N/A
R02,218,"$20,581",,R02,218,$20.6k,218,$20.6k
R03,207,"$20,872",,R03,207,$20.9k,#N/A,#N/A
R04,186,"$16,651",,R04,186,$16.7k,#N/A,#N/A
R05,200,"$20,104",,R05,200,$20.1k,#N/A,#N/A
Grand Total,"1,000","$96,623",,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Row Labels,,,,,,,,
R02,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Call Count,Column Labels,,,,,,,
Row Labels,Female,Male,Grand Total,,,,,
Cincinnati,144,132,276,,,,,
Cleveland,326,63,389,,,,,
Columbus,129,206,335,,,,,
Grand Total,599,401,"1,000",,,,,
,,,,,,,,
,,,,,,,,
Row Labels,Call Count,,,,,,,
1,3,,,,,,,
2,19,,,,,,,
3,35,,,,,,,
4,87,,,,,,,
5,74,,,,,,,
Grand Total,218,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
Toatal Amount,Column Labels,,,,,,,
Row Labels,R01,R02,R03,R04,R05,Grand Total,,
Cincinnati,,,,,,,,
C0003,$891,"$1,332","$1,282",$739,$560,"$4,804",,
C0004,"$1,991","$1,886","$1,206",$884,"$1,722","$7,689",,
C0011,"$1,163","$1,180","$1,616","$1,043","$1,747","$6,749",,
C0012,"$1,438","$1,616",$866,$829,"$2,070","$6,819",,
Cleveland,,,,,,,,
C0002,"$1,233",$223,"$1,680",$990,"$1,508","$5,634",,
C0007,"$1,598","$1,907",$869,"$1,426","$1,416","$7,216",,
C0008,$900,"$1,016",$960,$940,"$1,193","$5,009",,
C0010,$900,"$1,470","$1,617","$1,314",$941,"$6,242",,
C0013,"$1,255",$516,"$1,874","$1,863","$1,722","$7,230",,
C0015,"$1,138","$1,898","$1,482",$846,"$1,154","$6,518",,
Columbus,,,,,,,,
C0001,"$1,655",$805,"$2,263",$987,"$1,075","$6,785",,
C0005,"$1,104","$2,280","$1,445","$1,722","$1,196","$7,747",,
C0006,$372,"$1,818","$1,346","$1,156","$1,484","$6,176",,
C0009,"$1,415","$1,271","$1,214","$1,135","$1,566","$6,601",,
C0014,"$1,362","$1,363","$1,152",$777,$750,"$5,404",,
